Rk,Player,Nation,Pos,Squad,90s,Cmp,ShortCmp,MedCmp,LongCmp,xAG,xA,KP,1/3P,PPA,CrsPA,SCA,PrgP,SuccTkon,PrgC,1/3C,CPA,PrgR,TcklW,Int
244,Tim Iroegbunam,eng ENG,MF,Everton,6.4,18,8.44,6.56,2.19,0.03,0.02,0.47,1.56,0.16,0,1.57,2.34,1.25,1.25,1.56,0.31,1.41,2.19,2.5
245,Andy Irving,sct SCO,MF,West Ham,1.8,60.6,33.9,20,5,0.11,0.06,0.56,7.78,0.56,0.56,2.68,5,0.56,0,0.56,0,2.22,2.22,0.56
246,Vitaly Janelt,de GER,MF,Brentford,25,34.9,17.7,13.8,2.64,0.09,0.1,0.56,3.12,0.92,0.28,1.28,3.2,0.12,0.68,0.72,0.12,1.52,0.88,1.08
247,Mathias Jensen,dk DEN,MF,Brentford,9.6,37.8,17.7,13.9,5.1,0.18,0.18,1.67,4.38,1.98,0.31,4.28,6.35,0.94,0.63,1.25,0,2.81,1.04,0.83
248,Jorginho,it ITA,MF,Arsenal,7.8,52.7,27.6,21.5,2.69,0.05,0.08,0.38,5.64,1.28,0,1.54,6.15,0.13,1.54,1.67,0,0.77,0.51,0.9
249,Daichi Kamada,jp JPN,MF,Crystal Palace,17.4,34.7,18.2,13.4,2.18,0.11,0.09,1.15,2.76,0.8,0.17,2.99,5.06,0.4,1.44,1.09,0.34,3.22,1.67,1.03
250,Boubacar Kamara,fr FRA,MF,Aston Villa,19.2,43,21.9,18.6,1.77,0.05,0.04,0.57,4.74,0.52,0,1.41,4.43,0.47,0.99,0.68,0.1,0.36,1.09,0.99
251,Joshua King,eng ENG,MF,Fulham,1.4,38.6,20.7,15,2.14,0.29,0.5,2.14,3.57,1.43,0,5.54,6.43,2.86,2.14,2.86,0,11.4,3.57,0.71
252,Justin Kluivert,nl NED,MF,Bournemouth,26,22.4,12.4,7.27,1.73,0.18,0.14,1.73,1.73,1.35,0.23,3.88,4.04,1.38,3.12,2.12,1.46,6.65,0.42,0.54
253,Mateo Kovačić,hr CRO,MF,Manchester City,24.4,71.4,37.7,30.1,2.83,0.15,0.13,1.35,8.44,1.23,0,2.99,6.72,0.9,2.3,3.2,0.12,0.66,1.56,0.98
